order_id,order_date,customer_id,warehouse_id
1,01-01-2025,1,W1
2,02-01-2025,2,W2
3,05-01-2025,3,W1
4,10-01-2025,4,W3
5,01-02-2025,5,W2
6,10-02-2025,1,W4
7,01-03-2025,2,W1
8,05-03-2025,6,W5
9,08-03-2025,7,W2
10,10-03-2025,8,W3
11,15-03-2025,9,W4
12,20-03-2025,10,W1
13,01-04-2025,11,W6
14,03-04-2025,12,W2
15,06-04-2025,13,W1
16,08-04-2025,14,W5
17,10-04-2025,15,W4
18,12-04-2025,16,W3
19,15-04-2025,17,W2
20,18-04-2025,18,W6
21,22-04-2025,19,W4
22,25-04-2025,20,W5
23,01-05-2025,21,W1
24,05-05-2025,22,W6
25,08-05-2025,23,W4
26,12-05-2025,24,W2
27,15-05-2025,25,W3
28,18-05-2025,4,W1
29,22-05-2025,7,W2
30,25-05-2025,12,W5
