order_id,product_id,quantity,unit_price
1,1,2,60000
1,3,1,2000
2,2,1,20000
2,6,10,50
3,4,2,5000
4,5,1,8000
5,1,1,60000
6,7,50,10
7,8,1,15000
1,1,2,60000
1,3,1,2000
2,2,1,20000
2,6,10,50
3,4,2,5000
4,5,1,8000
5,1,1,60000
6,7,50,10
7,8,1,15000
8,9,3,1200
8,10,5,800
9,11,1,12000
9,13,4,700
10,2,2,20000
10,21,5,350
11,14,1,7000
12,22,2,3500
12,25,4,250
13,23,1,25000
13,20,2,500
14,24,1,6000
14,19,8,80
15,12,2,2500
15,13,6,700
16,1,1,60000
16,10,2,800
17,4,3,5000
18,11,2,12000
18,6,20,50
19,5,1,8000
20,3,4,2000
20,25,6,250
21,22,1,3500
21,17,2,3000
22,9,4,1200
22,20,3,500
23,23,1,25000
23,7,40,10
24,1,2,60000
24,11,1,12000
25,24,2,6000
25,19,10,80
26,14,1,7000
26,6,30,50
27,8,2,15000
27,18,8,120
28,5,1,8000
29,10,3,800
30,2,1,20000
30,13,5,700
